-4.840342712402343750e+01,-4.936653518676757812e+01,-5.137133789062500000e+01,-5.101406860351562500e+01,-4.964369201660156250e+01,-4.848915863037109375e+01,-4.764623260498046875e+01,-5.052483367919921875e+01,-4.580310440063476562e+01,-4.988483428955078125e+01,-4.652090072631835938e+01,-5.195542144775390625e+01,-4.886423492431640625e+01,-5.134918594360351562e+01,-4.750209045410156250e+01,-4.726841735839843750e+01,-4.950530242919921875e+01,-4.854750442504882812e+01,-4.828152465820312500e+01,-4.844543075561523438e+01
-4.081317138671875000e+01,-4.350516128540039062e+01,-4.591310119628906250e+01,-4.313049316406250000e+01,-4.323683929443359375e+01,-4.242526245117187500e+01,-4.197753143310546875e+01,-4.253051376342773438e+01,-4.194153594970703125e+01,-4.040897369384765625e+01,-3.960153961181640625e+01,-3.989881134033203125e+01,-4.361286926269531250e+01,-4.229477691650390625e+01,-4.220002746582031250e+01,-4.181827545166015625e+01,-4.143582534790039062e+01,-4.158189392089843750e+01,-3.905294799804687500e+01,-4.028849029541015625e+01
-3.813714981079101562e+01,-4.244882202148437500e+01,-4.601199722290039062e+01,-4.370230102539062500e+01,-4.169546508789062500e+01,-4.157867050170898438e+01,-4.084673309326171875e+01,-4.527751159667968750e+01,-4.286228942871093750e+01,-3.957133865356445312e+01,-3.968282318115234375e+01,-4.012884902954101562e+01,-4.312532043457031250e+01,-4.349729156494140625e+01,-4.217546081542968750e+01,-4.171697616577148438e+01,-4.036964416503906250e+01,-4.184162902832031250e+01,-3.930737304687500000e+01,-4.058487701416015625e+01
-4.121198272705078125e+01,-3.909321212768554688e+01,-4.789762115478515625e+01,-4.051996231079101562e+01,-5.009688568115234375e+01,-5.222048187255859375e+01,-4.636330795288085938e+01,-5.498368453979492188e+01,-4.819307708740234375e+01,-4.613891220092773438e+01,-4.519609069824218750e+01,-3.820629119873046875e+01,-5.206381988525390625e+01,-5.083517837524414062e+01,-4.855031585693359375e+01,-4.376990890502929688e+01,-4.560128021240234375e+01,-4.934888839721679688e+01,-4.539321899414062500e+01,-5.009019470214843750e+01
-3.451285171508789062e+01,-2.914588165283203125e+01,-2.793936157226562500e+01,-2.747550201416015625e+01,-4.826682662963867188e+01,-5.353192138671875000e+01,-4.056149291992187500e+01,-4.147373962402343750e+01,-3.357853698730468750e+01,-3.030477714538574219e+01,-3.238863754272460938e+01,-2.631810951232910156e+01,-4.720807647705078125e+01,-5.299922180175781250e+01,-4.478971862792968750e+01,-3.973117065429687500e+01,-3.832795715332031250e+01,-4.486790466308593750e+01,-4.170854187011718750e+01,-3.786157608032226562e+01
-2.892757415771484375e+01,-2.260272789001464844e+01,-1.689641952514648438e+01,-2.172998428344726562e+01,-4.962570190429687500e+01,-4.489459609985351562e+01,-2.262877655029296875e+01,-1.759459686279296875e+01,-1.720864295959472656e+01,-1.750854110717773438e+01,-1.695596313476562500e+01,-2.004534912109375000e+01,-4.586237716674804688e+01,-5.196318435668945312e+01,-3.258876037597656250e+01,-1.703875350952148438e+01,-1.280048751831054688e+01,-1.232851886749267578e+01,-1.308213424682617188e+01,-1.356134223937988281e+01
-3.432440567016601562e+01,-2.726406860351562500e+01,-2.187842750549316406e+01,-2.734320449829101562e+01,-5.136307144165039062e+01,-4.647198486328125000e+01,-1.793918037414550781e+01,-1.544550228118896484e+01,-1.962372589111328125e+01,-2.236713027954101562e+01,-2.036583900451660156e+01,-2.454800796508789062e+01,-5.262991333007812500e+01,-5.130698013305664062e+01,-2.951807594299316406e+01,-1.594042205810546875e+01,-1.152755832672119141e+01,-1.146107482910156250e+01,-1.301995086669921875e+01,-1.388836669921875000e+01
-2.776979827880859375e+01,-3.158788681030273438e+01,-4.016873168945312500e+01,-4.046880722045898438e+01,-4.907112884521484375e+01,-4.631665039062500000e+01,-1.866015625000000000e+01,-2.446535491943359375e+01,-3.580838012695312500e+01,-4.629649734497070312e+01,-3.682682037353515625e+01,-3.609944915771484375e+01,-5.390219879150390625e+01,-5.141262435913085938e+01,-2.909199333190917969e+01,-2.267410278320312500e+01,-2.011421966552734375e+01,-2.252149009704589844e+01,-2.449814987182617188e+01,-2.696469497680664062e+01
-3.145427513122558594e+01,-3.926948547363281250e+01,-4.963809967041015625e+01,-5.072726821899414062e+01,-6.445714569091796875e+01,-5.241057205200195312e+01,-2.406791496276855469e+01,-4.414605331420898438e+01,-4.692005157470703125e+01,-5.708702468872070312e+01,-4.876226425170898438e+01,-4.998070526123046875e+01,-5.852391433715820312e+01,-5.913415145874023438e+01,-3.170426940917968750e+01,-3.415177154541015625e+01,-3.622482299804687500e+01,-4.870428466796875000e+01,-3.728765869140625000e+01,-5.056148910522460938e+01
-3.667918014526367188e+01,-2.907955169677734375e+01,-4.484088134765625000e+01,-4.317193984985351562e+01,-6.376407623291015625e+01,-5.293875503540039062e+01,-2.627200317382812500e+01,-4.695573425292968750e+01,-4.628405761718750000e+01,-5.218628692626953125e+01,-4.839133834838867188e+01,-4.290282821655273438e+01,-5.259000396728515625e+01,-5.783124542236328125e+01,-3.269239425659179688e+01,-3.267850112915039062e+01,-4.065233230590820312e+01,-4.879506301879882812e+01,-3.869070816040039062e+01,-5.471038055419921875e+01
